IdPersona,Nombre,Colonia
1,MOISÉS DE PÉREZ,COLINAS DE ATEMAJAC
2,SANTIAGO CID-PALACIOS,AGUA BLANCA
3,GRACIANO PINA CRESPO,AGUA BLANCA
4,ROLANDO BUSTOS CARVAJAL,JARDINES DEL BOSQUE
5,ARISTIDES CASTELLS,SECTOR REFORMA
6,SILVIO BARBERO CARDONA,AGUA BLANCA
7,VICTORIA BARRIGA MORILLO,LA NORMAL
8,VERA MUÑOZ TOMÁS,AGUA BLANCA
9,MARTIN DE POLO,AGUA BLANCA
10,MARICRUZ MARTORELL-PABLO,CHURUBUSCO
11,IRMA DE CORTÉS,COLINAS DE ATEMAJAC
12,PÁNFILO PONCIO REY ARRIBAS,COLONIA EL COLLI
13,XIOMARA OJEDA-NARANJO,AGUA BLANCA
14,VALENTINA AZORIN MONTSERRAT,AGUA BLANCA
15,MAR CAZORLA HUGUET,AGUA BLANCA
16,MÁXIMO VEGA QUEVEDO,COLINAS DE ATEMAJAC
17,CONSUELO VALENCIA DELGADO,COLINAS DE ATEMAJAC
18,LILIANA MANZANARES RODRIGUEZ,CENTRO
19,HILDA DUARTE-MATEO,AGUA BLANCA
20,JOSE FRANCISCO ALSINA-CARRANZA,AGUA BLANCA
21,VALERIO SERNA AMAT,AGUA BLANCA
22,MANUEL SEBASTIÁN IBÁÑEZ,AGUA BLANCA
23,JENARO MONTSERRAT PORRAS,JARDINES DE  GPE
24,DANIEL MADRIGAL CARBONELL,JARDINES DEL BOSQUE
25,HERMENEGILDO QUINTANA VERDEJO,AGUA BLANCA
26,JOSÉ LUIS MIRANDA GUAL,AGUA BLANCA
27,BORJA WÁLTER BARREDA RIERA,COLINAS DE ATEMAJAC
28,CÁNDIDA RAMÍREZ,AGUA BLANCA
29,GALA PERALTA,AGUA BLANCA
30,NATALIO PALACIOS-HERAS,AGUA BLANCA
31,JUAN JOSÉ MONTALBÁN PRIEGO,AGUA BLANCA
32,CRUZ DOMÍNGUEZ GUARDIOLA,AGUA BLANCA
33,SERGIO CARO BARÁN,JARDINES DE LOS ARCOS
34,CALISTA GARMENDIA SUREDA,AGUA BLANCA
35,EPIFANIO MADRID ABRIL,AGUA BLANCA
36,RITA CASTILLO,CIUDAD DE LOS NIÑOS
37,NAZARIO ELORZA LAGUNA,AGUA BLANCA
38,LEOCADIA VALL BAYÁN,JARDINES DEL BOSQUE
39,GISELA ALCÁZAR MARQUEZ,AGUA BLANCA
40,SARITA DE RUIZ,AGUA BLANCA
41,ANDREA PEDRAZA VILANOVA,AGUA BLANCA
42,IRMA LLORENS CÉSPEDES,JARDINES DEL BOSQUE
43,FABIOLA ANTÓNN TOVAR,AGUA BLANCA
44,SATURNINO BARBERA,COLINAS DE ATEMAJAC
45,JEREMÍAS VALLEJO MALDONADO,COLINAS DE ATEMAJAC
46,RAÚL ARIAS ABASCAL,AGUA BLANCA
